"","Status","Category","Position","meanUSSDepth","sdUSSDepth","meanCN","sdCN","mean15N","sd15N","meanTC","sdTC","meanTN","sdTN","mean13C","sd13C","meanTOC","sdTOC","n"
"1","Benthic diatoms","Benthic diatoms","Benthic diatoms",NA,NA,11.77,0.37,2.73,0.48,5.83,2.56,0.5,0.22,-19.55,0.88,NA,NA,10
"2","Gills","Mussel","Gills",NA,NA,3.61,0.14,8.54,0.13,37.19,1.41,9.61,0.32,-18.42,0.15,34.69,1.55,12
"3","Grazed","Sediment","1",0,0,10.54,0.63,4.83,0.21,4.52,0.24,0.42,0.02,-20.04,0.47,4.44,0.37,12
"4","Grazed","Sediment","2",0,0,10.76,0.68,4.64,0.31,4.41,0.32,0.4,0.03,-19.76,0.59,4.31,0.31,12
"5","Grazed","Sediment","3",0,0,12.93,1.47,4.05,0.38,5.04,0.9,0.38,0.06,-18.48,0.82,4.93,0.7,12
"6","Grazed","Sediment","4",0,0,16.15,1.75,3.46,0.48,6.76,1.41,0.41,0.06,-17.2,0.37,6.7,1.44,12
"7","Grazed","Sediment","5",0,0,18.25,1.13,2.88,0.58,7.57,1.14,0.43,0.05,-16.94,0.38,7.84,0.95,12
"8","Grazed","Sediment","6",NA,NA,17.36,1.8,2.81,0.51,7.46,0.91,0.43,0.02,-17.34,0.5,7.4,0.72,10
"9","Grazed","Sediment","7",NA,NA,17.54,1.95,2.76,0.5,7.57,0.92,0.43,0.03,-17.65,0.57,7.54,1.16,12
"10","Grazed","USS","4",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"11","Grazed","USS","6",1,0.6,11.95,0.79,4.27,0.31,5.23,1.07,0.41,0.03,-19.35,0.32,4.83,0.59,12
"12","Grazed","USS","7",1.7,1,12.5,1.24,4.07,0.37,5.03,0.48,0.39,0.03,-19.35,0.41,4.86,0.46,13
"13","Gut","Sesarma","Fore-gut",NA,NA,7.24,0.95,6.16,0.26,37,1.15,5.19,0.71,-15.37,0.24,35.83,1.17,16
"14","Gut","Sesarma","Hind-gut",NA,NA,21.01,3.44,5.39,0.21,20.23,1.77,0.95,0.13,-15.08,0.21,19.63,2.26,13
"15","non-acid rinsed","Sesarma","Whole crab",NA,NA,7.35,NA,-4.69,NA,36.44,NA,6.69,NA,-26.35,NA,49.14,NA,1
"16","Soft tissue","Sesarma","Soft tissue",NA,NA,NA,NA,6.69,0.76,38.33,2.1,11.03,0.82,-14.32,0.43,NA,NA,10
"17","Spartina","Spartina","Spartina",NA,NA,23.27,2.23,3.81,0.11,42.21,0.88,1.61,0.04,-13.79,0.43,39.02,1.79,14
"18","Un-grazed","Sediment","1",0,0,10.98,1.24,4.82,0.19,4.73,0.43,0.42,0.02,-19.63,0.7,4.62,0.52,12
"19","Un-grazed","Sediment","2",0,0,12.2,2.23,4.62,0.35,5.3,0.94,0.43,0.02,-19.03,0.83,5.23,0.97,12
"20","Un-grazed","Sediment","3",0,0,14.56,2.95,4.12,0.62,6.19,1.31,0.42,0.04,-18.1,1.06,6.17,1.39,12
"21","Un-grazed","Sediment","4",0,NA,16.29,1.41,3.56,0.54,6.62,1.16,0.4,0.04,-17.49,0.52,6.7,1.04,10
"22","Un-grazed","Sediment","5",0,0,16.7,2.77,3.48,0.62,7.04,0.98,0.42,0.03,-17.48,0.87,6.99,1.28,12
"23","Un-grazed","Sediment","6",NA,NA,15.25,3.22,3.16,0.81,5.9,1.49,0.38,0.05,-18.03,1.24,5.78,1.6,11
"24","Un-grazed","Sediment","7",NA,NA,15.8,2.43,2.91,0.51,5.58,2.04,0.33,0.11,-17.98,1.03,5.38,2.12,12
"25","Un-grazed","USS","2",5,1.4,10.22,1.21,4.77,0.16,5.1,0.3,0.46,0.03,-19.34,0.62,4.69,0.7,4
"26","Un-grazed","USS","3",1.7,1.5,11.44,0.51,4.66,0.4,4.64,0.54,0.4,0.04,-19.96,0.43,4.62,0.52,4
"27","Un-grazed","USS","4",1.8,0.6,11.64,0.72,4.31,0.3,4.8,0.35,0.4,0.02,-19.17,0.62,4.66,0.36,11
"28","Un-grazed","USS","5",1.6,0.9,12.24,0.82,4.23,0.17,5.04,0.45,0.41,0.02,-19.4,0.78,5.01,0.43,8
"29","Un-grazed","USS","6",1.7,0.9,12.83,1.89,3.85,0.86,4.53,0.74,0.35,0.07,-19.04,0.6,4.42,0.67,12
"30","Un-grazed","USS","7",1.6,1,12.68,1.75,4,0.51,4.54,1.15,0.35,0.09,-19.24,0.54,4.41,1.06,12
"31","Visceral mass","Mussel","Visceral mass",NA,NA,4.33,0.23,6.68,0.19,42.08,1.57,8.9,0.24,-19.69,0.36,38.49,1.38,12
